# comment
# comment
%m/%d/%Y %H:%M:%OS	%5.1f	%5.1f	%.3f	%.2f		%.2e		%d					%s
# comment
T POSIXct	X numeric, m	Y numeric, m	Z numeric, ft	Z numeric, ft	Z numeric, m		Logical	Integer, psia		Logical	Date character	Time character	Character
04/25/2009 07:05:37.378	6.7	-3.8	-2.543	997.57	-0.775	-7.00E-01	FALSE	3			8/20/2008	12:01:42 PM	
04/25/2009 07:24:19.618	-1.8	-6.9	2.159	999.58	0.658	6.12E-01	TRUE	1			8/20/2008	12:01:42 PM	A3
04/25/2009 08:03:52.217	-1.3	1.4	-1.795	997.89	-0.547	-5.20E-01	FALSE	0			8/20/2008	12:01:42 PM	
04/25/2009 08:09:41.657	-1.5	-8.3	-2.789	997.46	-0.850	-7.51E-01	TRUE	4			8/20/2008	12:01:42 PM	
04/25/2009 08:35:22.517	6.0	-2.5	1.214	999.17	0.370	3.62E-01	TRUE	-15			8/20/2008	12:03:57 PM	
04/25/2009 08:39:20.534	3.4	-3.1	-1.785	997.89	-0.544	-5.18E-01	TRUE	2			8/20/2008	12:03:57 PM	
04/25/2009 08:55:21.092	1.1	9.4	NA	NA	NA	2.90E-02	TRUE	-1			8/20/2008	12:03:57 PM	
04/25/2009 09:24:41.251	-5.2	-8.6	1.129	999.14	0.344	3.37E-01	TRUE	1			8/20/2008	12:03:57 PM	A3
04/25/2009 09:42:09.783	-2.3	4.1	-0.971	998.24	-0.296	-2.92E-01	TRUE	1			8/20/2008	12:03:57 PM	
04/25/2009 09:46:10.985	8.1	-0.6	1.558	999.32	0.475	4.57E-01	FALSE	1			8/20/2008	12:03:57 PM	
04/25/2009 10:37:18.072	7.5	5.7	2.031	999.52	0.619	5.80E-01	FALSE	8			8/20/2008	12:03:57 PM	A2
04/25/2009 10:42:39.837	-1.4	0.0	0.259	998.77	0.079	7.89E-02	FALSE	5			8/20/2008	12:03:57 PM	A4
04/25/2009 11:41:31.422	5.8	-6.6	0.233	998.76	0.071	7.09E-02	TRUE	4			8/20/2008	12:03:57 PM	
04/25/2009 12:25:57.345	1.5	-5.0	-2.979	997.38	-0.908	-7.88E-01	FALSE	3			8/20/2008	12:03:57 PM	
04/25/2009 12:47:29.430	-6.4	-7.3	-2.336	997.66	-0.712	-6.53E-01	TRUE	-13			8/20/2008	1:00:01 PM	
